"code_theme","libelle_theme","code_ogr_rome","code_rome","libelle_rome"
"001","Métiers de l'environnement et du développement durable","488319","H1219","Responsable opérationnel / Responsable opérationnelle des études cliniques"
"001","Métiers de l'environnement et du développement durable","488322","H1220","Responsable formulation"
"001","Métiers de l'environnement et du développement durable","488335","H1221","Responsable des partenariats de recherche"
"001","Métiers de l'environnement et du développement durable","222","H1301","Inspecteur / Inspectrice de conformité"
"001","Métiers de l'environnement et du développement durable","223","H1302","Responsable Hygiène Sécurité Environnement (HSE) en industrie"
"001","Métiers de l'environnement et du développement durable","224","H1303","Technicien / Technicienne en Hygiène, Sécurité, Environnement industriel (HSE)"
"001","Métiers de l'environnement et du développement durable","488285","H1304","Responsable environnement-hygiène-sécurité en industrie"
"001","Métiers de l'environnement et du développement durable","489181","H1308","Animateur / Animatrice en Hygiène Sécurité Environnement (HSE)"
"001","Métiers de l'environnement et du développement durable","229","H1501","Ingénieur / Ingénieure d'analyse industrielle"
"001","Métiers de l'environnement et du développement durable","231","H1503","Technicien / Technicienne de laboratoire en industrie"
"001","Métiers de l'environnement et du développement durable","272","H2701","Technicien / Technicienne énergie"
"001","Métiers de l'environnement et du développement durable","488631","H2703","Technicien / Technicienne de maintenance de batteries de véhicules électriques"
"001","Métiers de l'environnement et du développement durable","488775","H2704","Technicien démonteur / Technicienne démonteuse de batteries de véhicules électriques"
"001","Métiers de l'environnement et du développement durable","489071","H2705","Pilote de ligne de production de composants et de cellules pour batteries de véhicules électriques"
"001","Métiers de l'environnement et du développement durable","488788","I1107","Responsable d'atelier de mécanique parcs et jardins"
"001","Métiers de l'environnement et du développement durable","313","I1304","Technicien / Technicienne de maintenance industrielle"
"001","Métiers de l'environnement et du développement durable","315","I1306","Frigoriste"
"001","Métiers de l'environnement et du développement durable","317","I1308","Technicien / Technicienne chauffagiste"
"001","Métiers de l'environnement et du développement durable","324","I1503","Technicien / Technicienne en risques technologiques"
"001","Métiers de l'environnement et du développement durable","488273","I1504","Décontaminateur / Décontamineuse nucléaire et radiologique"
"001","Métiers de l'environnement et du développement durable","488281","I1505","Technicien / Technicienne déchet nucléaire"
"001","Métiers de l'environnement et du développement durable","489013","I1507","Opérateur / Opératrice démantèlement nucléaire"
"001","Métiers de l'environnement et du développement durable","327","I1603","Mécanicien-réparateur / Mécanicienne-réparatrice en matériels agricoles"
