"code_grand_domaine","code_domaine_professionnel","numero_fiche_rome","intitule","libelle_appellation_long","libelle_appellation_court","type_provenance","code_fiche","ogr_rome","ogr_appellation"
"","","","","Vendeur / Vendeuse grossiste en produits frais","Vendeur / Vendeuse grossiste en produits frais","4","73","86","20641"
"D","11","08","Chef boulanger / Cheffe boulangère","","","3","32579","488597",""
"","","","","Chef boulanger / Cheffe boulangère","Chef boulanger / Cheffe boulangère","4","32579","488597","12006"
"D","11","09","Chef boucher / Cheffe bouchère","","","3","32889","489178",""
"","","","","Chef boucher / Cheffe bouchère","Chef boucher / Cheffe bouchère","4","32889","489178","12005"
"D","12","","Commerce non alimentaire et de prestations de confort","","","2","","",""
"D","12","01","Brocanteur / Brocanteuse","","","3","101","87",""
"","","","","Acheteur vendeur / Acheteuse vendeuse d'or, de métaux précieux","Acheteur(se) vendeur(se) d'or, de métaux précieux","4","101","87","38629"
"","","","","Acheteur vendeur / Acheteuse vendeuse en dépôt-vente","Acheteur vendeur / Acheteuse vendeuse en dépôt-vente","4","101","87","10259"
"","","","","Antiquaire","Antiquaire","4","101","87","11078"
"","","","","Assistant / Assistante galeriste","Assistant / Assistante galeriste","4","101","87","200201"
"","","","","Bouquiniste","Bouquiniste","4","101","87","11577"
"","","","","Brocanteur / Brocanteuse","Brocanteur / Brocanteuse","4","101","87","11597"
"","","","","Fripier / Fripière","Fripier / Fripière","4","101","87","15169"
"","","","","Galeriste","Galeriste","4","101","87","15180"
"","","","","Responsable de galerie d'art","Responsable de galerie d'art","4","101","87","18715"
"","","","","Vendeur / Vendeuse en antiquités","Vendeur / Vendeuse en antiquités","4","101","87","20543"
"D","12","02","Coiffeur / Coiffeuse","","","3","109","88",""
"","","","","Assistant / Assistante de coiffure","Assistant / Assistante de coiffure","4","109","88","11221"
"","","","","Assistant coiffeur / Assistante coiffeuse","Assistant coiffeur / Assistante coiffeuse","4","109","88","11208"
"","","","","Coiffeur / Coiffeuse","Coiffeur / Coiffeuse","4","109","88","12688"
"","","","","Coiffeur / Coiffeuse à domicile","Coiffeur / Coiffeuse à domicile","4","109","88","12689"
"","","","","Coiffeur / Coiffeuse dames","Coiffeur / Coiffeuse dames","4","109","88","12691"
"","","","","Coiffeur / Coiffeuse messieurs","Coiffeur / Coiffeuse messieurs","4","109","88","12693"
"","","","","Coiffeur / Coiffeuse mixte","Coiffeur / Coiffeuse mixte","4","109","88","12694"
"","","","","Coiffeur / Coiffeuse styliste","Coiffeur / Coiffeuse styliste","4","109","88","12696"
"","","","","Coiffeur / Coiffeuse visagiste","Coiffeur / Coiffeuse visagiste","4","109","88","12697"
"","","","","Coiffeur créateur / Coiffeuse créatrice","Coiffeur créateur / Coiffeuse créatrice","4","109","88","12690"
"","","","","Coloriste permanentiste","Coloriste permanentiste","4","109","88","12719"
"","","","","Styliste visagiste en coiffure","Styliste visagiste en coiffure","4","109","88","19552"
"","","","","Technicien / Technicienne en coloration","Technicien / Technicienne en coloration","4","109","88","20043"
"","","","","Technicien coupeur / Technicienne coupeuse en coiffure","Technicien coupeur / Technicienne coupeuse en coiffure","4","109","88","19704"
"D","12","03","Agent thermal / Agente thermale","","","3","113","89",""
"","","","","Agent / Agente d'accompagnement en thermalisme","Agent / Agente d'accompagnement en thermalisme","4","113","89","10371"
"","","","","Agent / Agente de cure thermale","Agent / Agente de cure thermale","4","113","89","10429"
"","","","","Agent / Agente de soins en hydrothérapie","Agent / Agente de soins en hydrothérapie","4","113","89","10608"
"","","","","Agent / Agente de thermalisme","Agent / Agente de thermalisme","4","113","89","10626"
"","","","","Agent / Agente en hydrothérapie","Agent / Agente en hydrothérapie","4","113","89","10738"
"","","","","Agent / Agente en soins thermaux","Agent / Agente en soins thermaux","4","113","89","10739"
"","","","","Agent hydrothermal / Agente hydrothermale","Agent hydrothermal / Agente hydrothermale","4","113","89","10743"
"","","","","Agent thermal / Agente thermale","Agent thermal / Agente thermale","4","113","89","10797"
"","","","","Animateur / Animatrice en aqua gymnastique","Animateur / Animatrice en aqua gymnastique","4","113","89","11053"
"","","","","Auxiliaire en hydrothérapie","Auxiliaire en hydrothérapie","4","113","89","11458"
"","","","","Baigneur / Baigneuse","Baigneur / Baigneuse","4","113","89","11486"
"","","","","Doucheur / Doucheuse","Doucheur / Doucheuse","4","113","89","14528"
"","","","","Hydrobalnéologue","Hydrobalnéologue","4","113","89","38004"
"","","","","Hydrothérapeute","Hydrothérapeute","4","113","89","15506"
"D","12","04","Loueur / Loueuse de véhicules","","","3","117","90",""
"","","","","Agent / Agente de comptoir en location de matériel de transport","Agent(e) de comptoir en location de matériel de transport","4","117","90","10402"
"","","","","Agent / Agente de comptoir en location de véhicules","Agent / Agente de comptoir en location de véhicules","4","117","90","10403"
"","","","","Agent / Agente d'opérations de location de véhicules","Agent / Agente d'opérations de location de véhicules","4","117","90","10727"
"","","","","Chaisier / Chaisière","Chaisier / Chaisière","4","117","90","11729"
"","","","","Chargé / Chargée de location de matériel de transport ou de loisirs","Chargé(e) de location de matériel de transport ou de loisirs","4","117","90","11810"
"","","","","Chargé / Chargée de location de moyen de transport","Chargé / Chargée de location de moyen de transport","4","117","90","11811"
"","","","","Chargé / Chargée de location d'engins et de matériel de chantier","Chargé(e) de location d'engins et de matériel de chantier","4","117","90","38214"
"","","","","Loueur / Loueuse d'avions de tourisme","Loueur / Loueuse d'avions de tourisme","4","117","90","16217"
"","","","","Loueur / Loueuse de bateaux","Loueur / Loueuse de bateaux","4","117","90","16218"
"","","","","Loueur / Loueuse de bateaux avec permis","Loueur / Loueuse de bateaux avec permis","4","117","90","16219"
"","","","","Loueur / Loueuse de bateaux sans permis","Loueur / Loueuse de bateaux sans permis","4","117","90","16220"
"","","","","Loueur / Loueuse de bicyclettes","Loueur / Loueuse de bicyclettes","4","117","90","16221"
"","","","","Loueur / Loueuse de canoë kayak","Loueur / Loueuse de canoë kayak","4","117","90","16222"
"","","","","Loueur / Loueuse de pédalos","Loueur / Loueuse de pédalos","4","117","90","16223"
"","","","","Loueur / Loueuse de véhicules","Loueur / Loueuse de véhicules","4","117","90","404416"
"","","","","Loueur / Loueuse de véhicules automobiles","Loueur / Loueuse de véhicules automobiles","4","117","90","16224"
"","","","","Loueur / Loueuse de véhicules hippomobiles","Loueur / Loueuse de véhicules hippomobiles","4","117","90","16225"
"","","","","Loueur / Loueuse de voiliers","Loueur / Loueuse de voiliers","4","117","90","16226"
"","","","","Loueur / Loueuse d'engins nautiques","Loueur / Loueuse d'engins nautiques","4","117","90","16227"
"","","","","Plagiste","Plagiste","4","117","90","17809"
"","","","","Responsable de comptoir en location de voitures","Responsable de comptoir en location de voitures","4","117","90","18694"
"D","12","05","Employé / Employée de pressing","","","3","115","91",""
"","","","","Apprêteur-détacheur / Apprêteuse-détacheuse","Apprêteur-détacheur / Apprêteuse-détacheuse","4","115","91","11096"
"","","","","Détacheur / Détacheuse","Détacheur / Détacheuse","4","115","91","14138"
"","","","","Employé / Employée de pressing","Employé / Employée de pressing","4","115","91","14777"
"","","","","Linger / Lingère","Linger / Lingère","4","115","91","16195"
"","","","","Nettoyeur / Nettoyeuse en cuir et peausserie","Nettoyeur / Nettoyeuse en cuir et peausserie","4","115","91","16980"
"","","","","Raviveur / Raviveuse cuir et peausserie","Raviveur / Raviveuse cuir et peausserie","4","115","91","18295"
"","","","","Réceptionniste de pressing","Réceptionniste de pressing","4","115","91","18322"
"","","","","Repasseur / Repasseuse","Repasseur / Repasseuse","4","115","91","18535"
"","","","","Repasseur / Repasseuse première main","Repasseur / Repasseuse première main","4","115","91","18540"
"","","","","Repasseur / Repasseuse seconde main","Repasseur / Repasseuse seconde main","4","115","91","18541"
"","","","","Responsable de pressing","Responsable de pressing","4","115","91","18812"
"","","","","Teinturier / Teinturière en cuir","Teinturier / Teinturière en cuir","4","115","91","20294"
"D","12","06","Cordonnier / Cordonnière","","","3","105","92",""
"","","","","Cordonnier / Cordonnière","Cordonnier / Cordonnière","4","105","92","13730"
"","","","","Cordonnier réparateur / Cordonnière réparatrice","Cordonnier réparateur / Cordonnière réparatrice","4","105","92","13732"
"","","","","Cordonnier-bottier / Cordonnière-bottière","Cordonnier-bottier / Cordonnière-bottière","4","105","92","13733"
"","","","","Opérateur / Opératrice en cordonnerie et multiservices","Opérateur / Opératrice en cordonnerie et multiservices","4","105","92","17198"
"","","","","Réparateur / Réparatrice d'articles en cuir","Réparateur / Réparatrice d'articles en cuir","4","105","92","18515"
"","","","","Réparateur / Réparatrice en chaussures","Réparateur / Réparatrice en chaussures","4","105","92","18525"
"","","","","Réparateur / Réparatrice en maroquinerie","Réparateur / Réparatrice en maroquinerie","4","105","92","18528"
"D","12","07","Retoucheur / Retoucheuse en habillement","","","3","103","93",""
"","","","","Essayeur-retoucheur / Essayeuse-retoucheuse","Essayeur-retoucheur / Essayeuse-retoucheuse","4","103","93","14885"
"","","","","Réparateur / Réparatrice en habillement","Réparateur / Réparatrice en habillement","4","103","93","18527"
"","","","","Retoucheur / Retoucheuse en confection","Retoucheur / Retoucheuse en confection","4","103","93","19243"
"","","","","Retoucheur / Retoucheuse en cuir","Retoucheur / Retoucheuse en cuir","4","103","93","19244"
"","","","","Retoucheur / Retoucheuse en habillement","Retoucheur / Retoucheuse en habillement","4","103","93","19245"
"","","","","Retoucheur vendeur / Retoucheuse vendeuse","Retoucheur vendeur / Retoucheuse vendeuse","4","103","93","19251"
"D","12","08","Esthéticien / Esthéticienne","","","3","111","94",""
"","","","","Animateur / Animatrice beauté","Animateur / Animatrice beauté","4","111","94","11073"
"","","","","Conseiller / Conseillère beauté","Conseiller / Conseillère beauté","4","111","94","13501"
"","","","","Conseiller / Conseillère en image personnelle","Conseiller / Conseillère en image personnelle","4","111","94","13432"
"","","","","Conseiller / Conseillère minceur","Conseiller / Conseillère minceur","4","111","94","13503"
"","","","","Conseiller / Conseillère relooking","Conseiller / Conseillère relooking","4","111","94","13504"
"","","","","Cosméticien / Cosméticienne","Cosméticien / Cosméticienne","4","111","94","13757"
"","","","","Directeur / Directrice d'institut de beauté","Directeur / Directrice d'institut de beauté","4","111","94","14422"
"","","","","Directeur / Directrice technique de centre de beauté","Directeur / Directrice technique de centre de beauté","4","111","94","14479"
"","","","","Employé / Employée d'institut de beauté","Employé / Employée d'institut de beauté","4","111","94","14798"
"","","","","Esthéticien / Esthéticienne","Esthéticien / Esthéticienne","4","111","94","14890"
"","","","","Esthéticien / Esthéticienne à domicile","Esthéticien / Esthéticienne à domicile","4","111","94","14891"
"","","","","Esthéticien praticien / Esthéticienne praticienne","Esthéticien praticien / Esthéticienne praticienne","4","111","94","14892"
"","","","","Esthéticien-cosméticien / Esthéticienne-cosméticienne","Esthéticien-cosméticien / Esthéticienne-cosméticienne","4","111","94","14893"
"","","","","Esthéticien-manucure / Esthéticienne-manucure","Esthéticien-manucure / Esthéticienne-manucure","4","111","94","14894"
"","","","","Formateur / Formatrice en esthétisme","Formateur / Formatrice en esthétisme","4","111","94","15140"
"","","","","Gérant / Gérante d'institut de beauté","Gérant / Gérante d'institut de beauté","4","111","94","15304"
"","","","","Manucure","Manucure","4","111","94","16359"
"","","","","Manucure vendeur / Manucure vendeuse en produits de beauté","Manucure vendeur / Manucure vendeuse en produits de beauté","4","111","94","16360"
"","","","","Maquilleur beauté / Maquilleuse beauté","Maquilleur beauté / Maquilleuse beauté","4","111","94","16381"
"","","","","Opérateur / Opératrice de bronzage par ultraviolets - UV","Opérateur / Opératrice de bronzage par ultraviolets - UV","4","111","94","38445"
"","","","","Perceur corporel / Perceuse corporelle","Perceur corporel / Perceuse corporelle","4","111","94","17656"
"","","","","Prothésiste ongulaire","Prothésiste ongulaire","4","111","94","18212"
"","","","","Responsable d'institut de beauté","Responsable d'institut de beauté","4","111","94","19002"
"","","","","Socio-esthéticien / Socio-esthéticienne","Socio-esthéticien / Socio-esthéticienne","4","111","94","38008"
"","","","","SPA Manager","SPA Manager","4","111","94","38732"
"","","","","SPA Praticien / Praticienne","SPA Praticien / Praticienne","4","111","94","38731"
"","","","","Styliste ongulaire","Styliste ongulaire","4","111","94","38671"
"","","","","Tatoueur / Tatoueuse","Tatoueur / Tatoueuse","4","111","94","19642"
"","","","","Visagiste en esthétique","Visagiste en esthétique","4","111","94","20691"
"D","12","09","Fleuriste","","","3","99","95",""
"","","","","Fleuriste","Fleuriste","4","99","95","15095"
"","","","","Fleuriste-décorateur floral / Fleuriste-décoratrice florale","Fleuriste-décorateur floral / Fleuriste-décoratrice florale","4","99","95","15097"
"","","","","Vendeur / Vendeuse de fleurs","Vendeur / Vendeuse de fleurs","4","99","95","20524"
"D","12","10","Vendeur / Vendeuse en animalerie","","","3","89","96",""
"","","","","Vendeur / Vendeuse conseil en aquariophilie","Vendeur / Vendeuse conseil en aquariophilie","4","89","96","38630"
"","","","","Vendeur / Vendeuse d'animaux","Vendeur / Vendeuse d'animaux","4","89","96","20520"
"","","","","Vendeur / Vendeuse en alimentation animale","Vendeur / Vendeuse en alimentation animale","4","89","96","20539"
"","","","","Vendeur / Vendeuse en animalerie","Vendeur / Vendeuse en animalerie","4","89","96","20542"
"","","","","Vendeur / Vendeuse en articles d'animalerie","Vendeur / Vendeuse en articles d'animalerie","4","89","96","20544"
"","","","","Vendeur / Vendeuse en produits animaliers","Vendeur / Vendeuse en produits animaliers","4","89","96","20617"
"","","","","Vendeur animalier / Vendeuse animalière","Vendeur animalier / Vendeuse animalière","4","89","96","20511"
"D","12","11","Vendeur / Vendeuse d'articles de sport et loisirs","","","3","107","97",""
"","","","","Buraliste","Buraliste","4","107","97","11609"
"","","","","Disquaire","Disquaire","4","107","97","14500"
"","","","","Kiosquier / Kiosquière","Kiosquier / Kiosquière","4","107","97","16140"
"","","","","Libraire","Libraire","4","107","97","16181"
"","","","","Skiman / Skiwoman","Skiman / Skiwoman","4","107","97","38080"
"","","","","Vendeur / Vendeuse buraliste","Vendeur / Vendeuse buraliste","4","107","97","20515"
"","","","","Vendeur / Vendeuse d'articles de sport et loisirs","Vendeur / Vendeuse d'articles de sport et loisirs","4","107","97","404417"
"","","","","Vendeur / Vendeuse de journaux","Vendeur / Vendeuse de journaux","4","107","97","20527"
"","","","","Vendeur / Vendeuse en articles de librairie papeterie","Vendeur / Vendeuse en articles de librairie papeterie","4","107","97","20548"
"","","","","Vendeur / Vendeuse en articles de papeterie","Vendeur / Vendeuse en articles de papeterie","4","107","97","20550"
"","","","","Vendeur / Vendeuse en articles de sport","Vendeur / Vendeuse en articles de sport","4","107","97","20552"
"","","","","Vendeur / Vendeuse en articles pour fumeurs","Vendeur / Vendeuse en articles pour fumeurs","4","107","97","20554"
"","","","","Vendeur / Vendeuse en bureau de tabac","Vendeur / Vendeuse en bureau de tabac","4","107","97","20562"
"","","","","Vendeur / Vendeuse en cigarettes électroniques","Vendeur / Vendeuse en cigarettes électroniques","4","107","97","140929"
"","","","","Vendeur / Vendeuse en cycles","Vendeur / Vendeuse en cycles","4","107","97","20571"
"","","","","Vendeur / Vendeuse en disques","Vendeur / Vendeuse en disques","4","107","97","20572"
"","","","","Vendeur / Vendeuse en encadrement","Vendeur / Vendeuse en encadrement","4","107","97","20575"
"","","","","Vendeur / Vendeuse en équipement de sport","Vendeur / Vendeuse en équipement de sport","4","107","97","20578"
"","","","","Vendeur / Vendeuse en fournitures artistiques","Vendeur / Vendeuse en fournitures artistiques","4","107","97","20580"
"","","","","Vendeur / Vendeuse en instruments et accessoires de musique","Vendeur / Vendeuse en instruments et accessoires de musique","4","107","97","20588"
"","","","","Vendeur / Vendeuse en jeux électroniques","Vendeur / Vendeuse en jeux électroniques","4","107","97","20590"
"","","","","Vendeur / Vendeuse en jeux et loterie","Vendeur / Vendeuse en jeux et loterie","4","107","97","20591"
"","","","","Vendeur / Vendeuse en jeux vidéo","Vendeur / Vendeuse en jeux vidéo","4","107","97","38494"
"","","","","Vendeur / Vendeuse en kiosque","Vendeur / Vendeuse en kiosque","4","107","97","20593"
"","","","","Vendeur / Vendeuse en librairie","Vendeur / Vendeuse en librairie","4","107","97","20594"
"","","","","Vendeur / Vendeuse en loisirs créatifs","Vendeur / Vendeuse en loisirs créatifs","4","107","97","20598"
"","","","","Vendeur / Vendeuse en ski","Vendeur / Vendeuse en ski","4","107","97","20628"
"","","","","Vendeur armurier / Vendeuse armurière","Vendeur armurier / Vendeuse armurière","4","107","97","20512"
"D","12","12","Vendeur / Vendeuse en équipement de la maison","","","3","94","98",""
"","","","","Cuisiniste","Cuisiniste","4","94","98","13869"
"","","","","Droguiste","Droguiste","4","94","98","14535"
"","","","","Quincaillier / Quincaillière","Quincaillier / Quincaillière","4","94","98","18262"
"","","","","Vendeur / Vendeuse de bois au détail","Vendeur / Vendeuse de bois au détail","4","94","98","20521"
"","","","","Vendeur / Vendeuse de cuisines","Vendeur / Vendeuse de cuisines","4","94","98","20523"
"","","","","Vendeur / Vendeuse de salles de bains","Vendeur / Vendeuse de salles de bains","4","94","98","20532"
"","","","","Vendeur / Vendeuse de verre à la coupe","Vendeur / Vendeuse de verre à la coupe","4","94","98","20536"
"","","","","Vendeur / Vendeuse en accessoires automobile","Vendeur / Vendeuse en accessoires automobile","4","94","98","20537"
"","","","","Vendeur / Vendeuse en aménagement du foyer","Vendeur / Vendeuse en aménagement du foyer","4","94","98","20541"
"","","","","Vendeur / Vendeuse en articles de bazar","Vendeur / Vendeuse en articles de bazar","4","94","98","38381"
"","","","","Vendeur / Vendeuse en articles de décoration","Vendeur / Vendeuse en articles de décoration","4","94","98","20547"
"","","","","Vendeur / Vendeuse en articles d'électricité","Vendeur / Vendeuse en articles d'électricité","4","94","98","20553"
"","","","","Vendeur / Vendeuse en arts de la table","Vendeur / Vendeuse en arts de la table","4","94","98","20555"
"","","","","Vendeur / Vendeuse en bricolage","Vendeur / Vendeuse en bricolage","4","94","98","20561"
"","","","","Vendeur / Vendeuse en carrelage","Vendeur / Vendeuse en carrelage","4","94","98","20563"
"","","","","Vendeur / Vendeuse en chauffage-ventilation-isolation","Vendeur / Vendeuse en chauffage-ventilation-isolation","4","94","98","20565"
"","","","","Vendeur / Vendeuse en droguerie","Vendeur / Vendeuse en droguerie","4","94","98","20573"
"","","","","Vendeur / Vendeuse en électroménager","Vendeur / Vendeuse en électroménager","4","94","98","20574"
"","","","","Vendeur / Vendeuse en équipement de la maison","Vendeur / Vendeuse en équipement de la maison","4","94","98","404418"
"","","","","Vendeur / Vendeuse en équipement du foyer","Vendeur / Vendeuse en équipement du foyer","4","94","98","20579"
"","","","","Vendeur / Vendeuse en image et son","Vendeur / Vendeuse en image et son","4","94","98","20585"
"","","","","Vendeur / Vendeuse en informatique","Vendeur / Vendeuse en informatique","4","94","98","20587"
"","","","","Vendeur / Vendeuse en linge de maison","Vendeur / Vendeuse en linge de maison","4","94","98","20595"
"","","","","Vendeur / Vendeuse en literie","Vendeur / Vendeuse en literie","4","94","98","20597"
"","","","","Vendeur / Vendeuse en luminaires","Vendeur / Vendeuse en luminaires","4","94","98","20599"
"","","","","Vendeur / Vendeuse en matériaux de construction","Vendeur / Vendeuse en matériaux de construction","4","94","98","20601"
"","","","","Vendeur / Vendeuse en menuiserie","Vendeur / Vendeuse en menuiserie","4","94","98","20603"
"","","","","Vendeur / Vendeuse en meubles","Vendeur / Vendeuse en meubles","4","94","98","20604"
"","","","","Vendeur / Vendeuse en motoculture de plaisance","Vendeur / Vendeuse en motoculture de plaisance","4","94","98","38327"
"","","","","Vendeur / Vendeuse en outillage","Vendeur / Vendeuse en outillage","4","94","98","20607"
"","","","","Vendeur / Vendeuse en petit électroménager","Vendeur / Vendeuse en petit électroménager","4","94","98","20610"
"","","","","Vendeur / Vendeuse en plomberie sanitaire","Vendeur / Vendeuse en plomberie sanitaire","4","94","98","20611"
"","","","","Vendeur / Vendeuse en produits blancs","Vendeur / Vendeuse en produits blancs","4","94","98","20618"
"","","","","Vendeur / Vendeuse en produits bruns","Vendeur / Vendeuse en produits bruns","4","94","98","20619"
"","","","","Vendeur / Vendeuse en produits multimédia","Vendeur / Vendeuse en produits multimédia","4","94","98","38572"
"","","","","Vendeur / Vendeuse en quincaillerie","Vendeur / Vendeuse en quincaillerie","4","94","98","20625"
"","","","","Vendeur / Vendeuse en revêtement de mur, sol","Vendeur / Vendeuse en revêtement de mur, sol","4","94","98","20626"
"","","","","Vendeur / Vendeuse en téléphonie","Vendeur / Vendeuse en téléphonie","4","94","98","20629"
"","","","","Vendeur / Vendeuse en tissus","Vendeur / Vendeuse en tissus","4","94","98","20630"
"D","12","13","Vendeur / Vendeuse grossiste de matériels et équipements","","","3","92","99",""
"","","","","Vendeur / Vendeuse comptoir de matériels et équipements","Vendeur / Vendeuse comptoir de matériels et équipements","4","92","99","20517"
"","","","","Vendeur / Vendeuse comptoir en biens d'équipement","Vendeur / Vendeuse comptoir en biens d'équipement","4","92","99","20518"
"","","","","Vendeur / Vendeuse grossiste de matériels et équipements","Vendeur / Vendeuse grossiste de matériels et équipements","4","92","99","20636"
"","","","","Vendeur / Vendeuse grossiste en biens de consommation","Vendeur / Vendeuse grossiste en biens de consommation","4","92","99","20637"
"","","","","Vendeur / Vendeuse grossiste en équipement de la personne","Vendeur / Vendeuse grossiste en équipement de la personne","4","92","99","20638"
"","","","","Vendeur / Vendeuse grossiste en équipement du foyer","Vendeur / Vendeuse grossiste en équipement du foyer","4","92","99","20639"
"","","","","Vendeur / Vendeuse grossiste en équipements professionnels","Vendeur / Vendeuse grossiste en équipements professionnels","4","92","99","20640"
"D","12","14","Vendeur / Vendeuse en prêt-à-porter","","","3","97","100",""
"","","","","Vendeur / Vendeuse en accessoires de la personne","Vendeur / Vendeuse en accessoires de la personne","4","97","100","20538"
"","","","","Vendeur / Vendeuse en articles de chapellerie","Vendeur / Vendeuse en articles de chapellerie","4","97","100","20546"
"","","","","Vendeur / Vendeuse en articles de mercerie","Vendeur / Vendeuse en articles de mercerie","4","97","100","20549"
"","","","","Vendeur / Vendeuse en articles de puériculture","Vendeur / Vendeuse en articles de puériculture","4","97","100","20551"
"","","","","Vendeur / Vendeuse en articles érotiques","Vendeur / Vendeuse en articles érotiques","4","97","100","38215"
"","","","","Vendeur / Vendeuse en bijouterie","Vendeur / Vendeuse en bijouterie","4","97","100","20556"
"","","","","Vendeur / Vendeuse en bijoux fantaisie","Vendeur / Vendeuse en bijoux fantaisie","4","97","100","20557"
"","","","","Vendeur / Vendeuse en chaussures","Vendeur / Vendeuse en chaussures","4","97","100","20566"
"","","","","Vendeur / Vendeuse en cosmétique","Vendeur / Vendeuse en cosmétique","4","97","100","20569"
"","","","","Vendeur / Vendeuse en horlogerie","Vendeur / Vendeuse en horlogerie","4","97","100","20583"
"","","","","Vendeur / Vendeuse en hygiène de la personne","Vendeur / Vendeuse en hygiène de la personne","4","97","100","20584"
"","","","","Vendeur / Vendeuse en lingerie","Vendeur / Vendeuse en lingerie","4","97","100","20596"
"","","","","Vendeur / Vendeuse en maroquinerie","Vendeur / Vendeuse en maroquinerie","4","97","100","20600"
"","","","","Vendeur / Vendeuse en matériel médical, paramédical","Vendeur / Vendeuse en matériel médical, paramédical","4","97","100","38382"
"","","","","Vendeur / Vendeuse en optique lunetterie","Vendeur / Vendeuse en optique lunetterie","4","97","100","20605"
"","","","","Vendeur / Vendeuse en orfèvrerie et joaillerie","Vendeur / Vendeuse en orfèvrerie et joaillerie","4","97","100","20606"
"","","","","Vendeur / Vendeuse en parapharmacie","Vendeur / Vendeuse en parapharmacie","4","97","100","20608"
"","","","","Vendeur / Vendeuse en parfumerie","Vendeur / Vendeuse en parfumerie","4","97","100","20609"
"","","","","Vendeur / Vendeuse en prêt-à-porter","Vendeur / Vendeuse en prêt-à-porter","4","97","100","20613"
"","","","","Vendeur / Vendeuse en prêt-à-porter de luxe","Vendeur / Vendeuse en prêt-à-porter de luxe","4","97","100","24858"
"","","","","Vendeur / Vendeuse en prêt-à-porter enfant","Vendeur / Vendeuse en prêt-à-porter enfant","4","97","100","20614"
"","","","","Vendeur / Vendeuse en prêt-à-porter féminin","Vendeur / Vendeuse en prêt-à-porter féminin","4","97","100","20615"
"","","","","Vendeur / Vendeuse en prêt-à-porter masculin","Vendeur / Vendeuse en prêt-à-porter masculin","4","97","100","20616"
"D","12","15","Posticheur / Posticheuse","","","3","32596","488614",""
"","","","","Posticheur / Posticheuse","Posticheur / Posticheuse","4","32596","488614","17951"
"D","12","16","Coiffeur barbier / Coiffeuse barbière","","","3","32599","488617",""
"","","","","Coiffeur barbier / Coiffeuse barbière","Coiffeur barbier / Coiffeuse barbière","4","32599","488617","38654"
"D","12","17","Socio-coiffeur / Socio-coiffeuse","","","3","32701","488784",""
"","","","","Socio-coiffeur / Socio-coiffeuse","Socio-coiffeur / Socio-coiffeuse","4","32701","488784","200202"
"D","12","18","Formateur coiffeur / Formatrice coiffeuse","","","3","32775","488919",""
"","","","","Formateur coiffeur / Formatrice coiffeuse","Formateur coiffeur / Formatrice coiffeuse","4","32775","488919","15125"
"D","12","19","Vendeur / Vendeuse conseil en jardinerie","","","3","32794","489010",""
"","","","","Vendeur / Vendeuse conseil en jardinerie","Vendeur / Vendeuse conseil en jardinerie","4","32794","489010","20519"
"","","","","Vendeur / Vendeuse de végétaux","Vendeur / Vendeuse de végétaux","4","32794","489010","20534"
"","","","","Vendeur / Vendeuse en articles de jardin","Vendeur / Vendeuse en articles de jardin","4","32794","489010","489158"
"","","","","Vendeur / Vendeuse en jardinerie","Vendeur / Vendeuse en jardinerie","4","32794","489010","20589"
"","","","","Vendeur / Vendeuse en matériel de jardinage","Vendeur / Vendeuse en matériel de jardinage","4","32794","489010","20602"
"","","","","Vendeur / Vendeuse pépiniériste","Vendeur / Vendeuse pépiniériste","4","32794","489010","20643"
"D","12","20","Gérant / Gérante salon de coiffure","","","3","32820","489036",""
"","","","","Chef coiffeur / Cheffe coiffeuse","Chef coiffeur / Cheffe coiffeuse","4","32820","489036","12010"
"","","","","Gérant / Gérante salon de coiffure","Gérant / Gérante salon de coiffure","4","32820","489036","15309"
"","","","","Gérant technicien / Gérante technicienne de salon de coiffure","Gérant(e) technicien(ne) de salon de coiffure","4","32820","489036","15310"
"","","","","Responsable salon de coiffure","Responsable salon de coiffure","4","32820","489036","19172"
"D","12","21","Vendeur / Vendeuse de produits culturels et ludiques","","","3","32840","489056",""
"","","","","Vendeur / Vendeuse de cadeaux souvenirs","Vendeur / Vendeuse de cadeaux souvenirs","4","32840","489056","38133"
"","","","","Vendeur / Vendeuse de jouets","Vendeur / Vendeuse de jouets","4","32840","489056","20592"
"","","","","Vendeur / Vendeuse de produits culturels","Vendeur / Vendeuse de produits culturels","4","32840","489056","20620"
"","","","","Vendeur / Vendeuse de produits culturels et ludiques","Vendeur / Vendeuse de produits culturels et ludiques","4","32840","489056","20621"
"","","","","Vendeur / Vendeuse de produits ludiques","Vendeur / Vendeuse de produits ludiques","4","32840","489056","20624"
"D","12","22","Masseur / Masseuse bien-être","","","3","32940","489570",""
"","","","","Masseur / Masseuse bien-être","Masseur / Masseuse bien-être","4","32940","489570","489887"
"","","","","Praticien / Praticienne en massage bien-être","Praticien / Praticienne en massage bien-être","4","32940","489570","489888"
"D","13","","Direction de magasin de détail","","","2","","",""
"D","13","01","Responsable de magasin","","","3","120","101",""
"","","","","Adjoint / Adjointe responsable de magasin de détail","Adjoint / Adjointe responsable de magasin de détail","4","120","101","10297"
"","","","","Directeur / Directrice de magasin de détail","Directeur / Directrice de magasin de détail","4","120","101","14289"
"","","","","Gérant / Gérante de commerce de détail","Gérant / Gérante de commerce de détail","4","120","101","15282"
"","","","","Gérant / Gérante de magasin d'alimentation","Gérant / Gérante de magasin d'alimentation","4","120","101","15287"
