"code_rome","riasec_majeur","riasec_mineur"
"F1121","R","E"
"F1122","E","I"
"F1123","I",""
"F1124","I",""
"F1125","C","I"
"F1126","R","C"
"F1201","E","R"
"F1202","E","R"
"F1203","E","R"
"F1204","C","E"
"F1205","C","R"
"F1206","R","C"
"F1207","R","C"
"F1301","R",""
"F1302","R",""
"F1401","R","C"
"F1402","R","E"
"F1501","R","E"
"F1502","R","E"
"F1503","R",""
"F1504","R",""
"F1601","R",""
"F1602","R","E"
"F1603","R","E"
"F1604","R",""
"F1605","R","C"
"F1606","R","A"
"F1607","R",""
"F1608","R","S"
"F1609","R",""
"F1610","R",""
"F1611","R","E"
"F1612","R",""
"F1613","R","C"
"F1614","R","C"
"F1615","R",""
"F1616","R",""
"F1617","R",""
"F1618","R",""
"F1619","R",""
"F1620","R","C"
"F1621","R",""
"F1622","R",""
"F1623","R",""
"F1624","R",""
"F1625","R",""
"F1701","R","E"
"F1702","R","E"
"F1703","R","E"
"F1704","R","C"
"F1705","R",""
"F1706","R","C"
"F1707","R",""
"F1708","R",""
"F1709","R",""
"F1710","R","C"
"G1101","S","C"
"G1102","E","C"
"G1103","E","C"
"G1104","E","C"
"G1105","E","S"
"G1106","S","C"
"G1107","S",""
"G1108","E","S"
"G1201","S","C"
"G1202","S","E"
"G1203","S","C"
"G1204","S","E"
"G1205","R","C"
"G1206","C","S"
"G1207","S","R"
"G1208","E","S"
"G1209","S","E"
"G1210","R","S"
"G1211","E","R"
"G1212","S","R"
"G1213","E","C"
"G1214","E","C"
"G1215","S","R"
"G1216","S","R"
"G1217","S","R"
"G1218","S","R"
"G1219","E","C"
"G1220","S","R"
"G1221","E","C"
"G1222","S","I"
"G1223","S","R"
"G1224","S","R"
"G1225","C","S"
"G1226","C","S"
"G1227","S","C"
"G1228","S","R"
"G1229","R","S"
"G1230","S","R"
"G1231","S","R"
"G1232","R","S"
"G1233","S","I"
"G1234","R","S"
"G1301","E","C"
"G1302","E","C"
"G1303","C","S"
"G1401","E","C"
"G1402","E","C"
"G1403","E","R"
"G1404","E","R"
"G1405","E","C"
"G1406","E","R"
"G1407","C",""
"G1408","E","S"
"G1409","E","R"
"G1410","E","C"
"G1411","E","C"
"G1412","E","C"
"G1413","E","C"
"G1414","E","C"
"G1501","R",""
"G1502","R",""
"G1503","E","R"
"G1601","E","R"
"G1602","R",""
"G1603","R",""
"G1604","R","C"
"G1605","R","C"
"G1606","R",""
"G1607","R",""
"G1608","R","C"
"G1609","R",""
"G1610","R",""
"G1611","S",""
"G1701","C","S"
"G1702","R","S"
"G1703","S","C"
"G1704","C","S"
"G1705","S","C"
"G1706","S","C"
"G1707","S","R"
"G1708","S","R"
"G1801","R","S"
"G1802","E","S"
"G1803","R","S"
"G1804","R","S"
"G1805","E","C"
"G1806","R",""
"G1807","E","C"
"G1808","R",""
"G1809","R",""
"G1810","E","S"
"H1101","I","S"
"H1102","E","C"
"H1103","E",""
"H1104","E","I"
"H1105","E","I"
"H1106","E","C"
"H1107","E","C"
"H1108","C","I"
"H1201","C","R"
"H1202","R","C"
"H1203","R","C"
"H1204","A","E"
"H1205","R","A"
"H1206","E","I"
"H1207","C","R"
"H1208","R","C"
"H1209","R","I"
"H1210","R","C"
"H1211","I","S"
"H1212","I","C"
"H1213","I","E"
"H1214","I","R"
"H1215","I",""
"H1216","I","E"
"H1217","I","R"
"H1218","I","E"
"H1219","I","E"
"H1220","I","E"
"H1221","E","I"
"H1222","I","E"
"H1223","I","E"
"H1224","I","R"
"H1225","I","R"
"H1301","C","R"
"H1302","E","I"
"H1303","I","C"
"H1304","C",""
"H1305","C","R"
"H1306","I","C"
"H1307","C",""
"H1308","C",""
"H1309","C","I"
"H1401","E","R"
"H1402","R","C"
"H1403","R","C"
"H1404","R","C"
"H1405","C",""
"H1406","C",""
"H1501","E","I"
"H1502","I","R"
"H1503","I","R"
"H1504","I","R"
"H1505","I","R"
"H1506","I","R"
"H1507","C","I"
"H1508","C","R"
"H1509","C","I"
"H1510","I","C"
"H1511","C","I"
"H1512","E","C"
"H1513","I","C"
"H1514","I","C"
"H1515","C","R"
"H1516","I","R"
"H1517","E","I"
"H1518","C",""
"H1519","C",""
"H1520","C","I"
"H1521","I","C"
"H1522","I","R"
"H2101","R","C"
"H2102","R","C"
"H2103","R",""
"H2104","R","C"
"H2201","R","C"
"H2202","R","C"
"H2203","R","C"
"H2204","R","C"
"H2205","R","C"
"H2206","R",""
"H2207","R",""
"H2208","R","A"
"H2209","R","C"
"H2210","R",""
"H2211","R",""
"H2301","R","C"
"H2302","R",""
"H2303","R",""
"H2401","R",""
"H2402","R",""
"H2403","R","C"
"H2404","R","C"
"H2405","R","C"
"H2406","R","C"
"H2407","R","C"
"H2408","R","A"
"H2409","R",""
"H2410","R",""
"H2411","R",""
"H2412","R","C"
"H2413","R","C"
"H2414","R","C"
"H2415","C","R"
"H2416","R","A"
"H2417","R","C"
"H2418","R",""
"H2419","R","A"
"H2420","R",""
"H2421","R",""
"H2422","R",""
"H2423","R",""
"H2424","R",""
"H2425","R",""
"H2426","R",""
"H2427","R","A"
"H2501","R","E"
"H2502","R","E"
"H2503","R","E"
"H2504","R","E"
"H2505","R","E"
"H2506","C","R"
"H2507","C","R"
"H2508","C","I"
"H2601","R",""
"H2602","R","I"
"H2603","R","C"
"H2604","R","C"
"H2605","R","C"
"H2606","R",""
"H2607","R",""
"H2608","R",""
"H2701","R","C"
"H2702","I","R"
"H2703","R",""
"H2704","R",""
"H2705","R",""
"H2801","R","C"
"H2802","R","C"
"H2803","R","C"
"H2804","R","C"
"H2805","R","C"
"H2901","R","C"
"H2902","R","C"
"H2903","R","C"
"H2904","R","C"
"H2905","R","C"
"H2906","R","C"
"H2907","R","C"
"H2908","R","C"
"H2909","R","C"
"H2910","R","C"
"H2911","R","C"
"H2912","R","C"
"H2913","R",""
"H2914","R","C"
"H2915","R",""
"H2916","R",""
"H2917","R",""
"H3101","R","C"
"H3102","R","C"
"H3201","R","C"
"H3202","R","C"
"H3203","R","C"
"H3301","R","C"
"H3302","R","C"
"H3303","R","C"
"H3304","R",""
"H3305","R",""
"H3401","R","C"
"H3402","R","C"
"H3403","R","C"
"H3404","R","C"
"H3405","R","A"
"H3406","R","A"
"H3407","R","A"
"H3408","R",""
"I1101","R","E"
"I1102","R","E"
"I1103","R","E"
"I1104","I","R"
"I1105","E","R"
"I1106","R","E"
"I1107","R","C"
"I1201","R","C"
"I1202","C","R"
"I1203","R",""
"I1204","R",""
"I1205","R",""
"I1301","R","C"
"I1302","R","C"
"I1303","R","C"
"I1304","R","C"
"I1305","R","C"
"I1306","R","C"
"I1307","R","C"
"I1308","R","C"
"I1309","R","C"
"I1310","R","C"
"I1311","R",""
"I1312","R",""
"I1313","R",""
"I1314","R",""
"I1315","R",""
"I1316","R",""
"I1317","R",""
"I1318","R","I"
"I1319","R",""
"I1320","R",""
"I1401","R","C"
"I1402","R","C"
"I1403","R",""
"I1404","S","R"
"I1405","C",""
"I1501","R",""
"I1502","R","C"
"I1503","R","C"
"I1504","R","I"
"I1505","I","R"
"I1506","R",""
"I1507","I","R"
"I1601","R",""
"I1602","R",""
"I1603","R",""
"I1604","R",""
"I1605","R",""
"I1606","R","C"
"I1607","R","C"
"I1608","R",""
"I1609","R",""
"I1610","R",""
"I1611","R",""
"I1612","I","R"
"I1613","R",""
"I1614","R",""
"I1615","R",""
"I1616","R",""
"I1617","R","C"
"I1618","R",""
"I1619","R",""
"I1620","R",""
"J1101","S","I"
"J1102","I","S"
"J1103","I","S"
"J1104","S","I"
"J1105","S","I"
"J1106","I","C"
"J1107","I","S"
"J1108","I","S"
"J1109","I","S"
"J1110","I","S"
"J1111","I","S"
"J1201","I","C"
"J1202","I","C"
"J1203","I","E"
"J1204","I","E"
"J1301","R","C"
"J1302","I","R"
"J1303","I","S"
"J1304","S","R"
"J1305","S","I"
"J1306","I","S"
"J1307","I","R"
"J1308","S","R"
"J1309","R",""
"J1401","S","I"
"J1402","S","I"
"J1403","S","I"
"J1404","S","I"
"J1405","S","I"
"J1406","S","I"
"J1407","S","I"
"J1408","S","I"
"J1409","S","I"
"J1410","R","I"
"J1411","R","I"
"J1412","S","I"
"J1413","I","S"
"J1501","S","I"
"J1502","E","S"
"J1503","S","I"
"J1504","S","I"
"J1505","S","I"
"J1506","S","I"
"J1507","S","I"
"J1508","I","S"
"J1509","C","I"
"J1510","I","S"
"J1511","I","S"
"J1512","I","S"
"K1101","S","I"
"K1102","S","C"
"K1103","S","I"
"K1104","S","I"
"K1105","S","A"
"K1201","S","C"
"K1202","S","I"
"K1203","S","E"
"K1204","S","C"
"K1205","S","C"
"K1206","S","A"
"K1207","S",""
"K1208","S",""
"K1209","S","C"
"K1210","S",""
"K1211","S",""
"K1212","S",""
"K1301","S","I"
"K1302","S",""
"K1303","S","R"
"K1304","S",""
"K1305","S","C"
"K1306","S",""
"K1307","S","R"
"K1308","S","R"
"K1309","S",""
"K1310","S",""
"K1311","S",""
"K1312","S",""
"K1313","S",""
"K1401","E","C"
