"code_rome","code_fiche_metier","code_ogr","libelle_rome","transition_eco","transition_num","transition_demo","emploi_reglemente","emploi_cadre","code_rome_parent"
"B1302","17","39","Décorateur / Décoratrice d'objets d'art","Emploi Blanc","","","","","B1302"
"B1303","14","40","Graveur / Graveuse d'art","Emploi Blanc","N","N","","N","B1303"
"B1304","32641","488724","Artisan démonstrateur / Artisane démonstratrice","Emploi Blanc","N","N","N","N","B1302"
"B1401","20","41","Vannier / Vannière","Emploi Blanc","","","","","B1401"
"B1402","21","42","Relieur / Relieuse d'art","Emploi Blanc","N","N","N","N","B1402"
"B1403","32848","489064","Restaurateur / Restauratrice de livres anciens","Emploi Blanc","N","N","N","N","B1402"
"B1501","22","43","Facteur / Factrice d'instruments de musique","Emploi Blanc","","","","","B1501"
"B1601","24","44","Métallier / Métallière d'art","Emploi Blanc","","","","","B1601"
"B1602","30","45","Souffleur / Souffleuse de verre","Emploi Blanc","","","","","B1602"
"B1603","26","46","Opérateur / Opératrice en orfèvrerie et bijouterie","Emploi Blanc","N","N","O","N","B1603"
"B1604","23","47","Horloger / Horlogère","Emploi Blanc","","","","","B1604"
"B1605","30084","404957","Bijoutier / Bijoutière","Emploi Blanc","N","N","O","N","B1603"
"B1606","30080","404968","Joaillier / Joaillière","Emploi Blanc","N","N","O","N","B1603"
"B1607","30087","404969","Lapidaire / Diamantaire","Emploi Blanc","N","N","O","N","B1603"
"B1608","30095","404972","Opérateur / Opératrice en bijouterie","Emploi Blanc","N","N","O","N","B1603"
"B1609","30085","404976","Responsable d'atelier en bijouterie ou joaillerie","Emploi Blanc","N","N","O","O","B1603"
"B1610","30083","404977","Sertisseur / Sertisseuse en bijouterie ou joaillerie","Emploi Blanc","N","N","O","N","B1603"
"B1611","30088","404978","Trieur / Trieuse de pierres et perles","Emploi Blanc","N","N","O","N","B1603"
"B1612","30089","404964","Concepteur / Conceptrice numérique en bijouterie joaillerie","Emploi Blanc","O","N","O","N","H1204"
"B1613","32661","488744","Orfèvre","Emploi Blanc","N","N","O","N","B1603"
"B1614","32926","489215","Monteur / Monteuse en orfèvrerie","Emploi Blanc","N","N","O","N","B1603"
"B1615","32961","490200","Orfèvre tourneur repousseur / Orfèvre tourneuse repousseuse","","N","N","O","","B1603"
"B1701","33","48","Taxidermiste","Emploi Blanc","","","","","B1701"
"B1801","39","49","Chapelier / Chapelière","Emploi Blanc","","","","","B1801"
"B1802","42","50","Maroquinier / Maroquinière","Emploi Blanc","","","","","B1802"
"B1803","41","51","Couturier / Couturière","Emploi Blanc","","","","","B1803"
"B1804","44","52","Brodeur / Brodeuse","Emploi Blanc","","","","","B1804"
"B1805","35","53","Styliste","Emploi Blanc","","","","","B1805"
"B1806","38","54","Tapissier / Tapissière d'ameublement","Emploi Blanc","","","","","B1806"
"C1101","65","55","Chargé / Chargée de produit en assurances","Emploi Blanc","","","","","C1101"
"C1102","50","56","Conseiller / Conseillère en assurances","Emploi Blanc","","","","","C1102"
"C1103","59","57","Courtier / Courtière en assurance","Emploi Blanc","","","O","O","C1103"
"C1104","55","58","Responsable d'agence en assurances","Emploi Blanc","","","","","C1104"
"C1105","77","59","Actuaire","Emploi Blanc","","","","","C1105"
"C1106","74","60","Expert / Experte risques en assurances","Emploi Blanc","","","","","C1106"
"C1107","75","61","Chargé / Chargée d'indemnisations en assurances","Emploi Blanc","","","","","C1107"
"C1108","57","62","Responsable de département en assurances","Emploi Blanc","","","","","C1108"
"C1109","49","63","Gestionnaire en assurances","Emploi Blanc","","","","","C1109"
"C1110","53","64","Souscripteur / Souscriptrice en assurances","Emploi Blanc","","","","","C1110"
"C1111","30072","404510","Mandataire en assurance","Emploi Blanc","","","O","N","C1103"
"C1112","30073","404511","Agent général / Agente générale d'assurance","Emploi Blanc","","","O","O","C1103"
"C1113","32832","489048","Expert / Experte en assurances dommages automobile","Emploi Blanc","N","N","O","N","I1604"
"C1201","79","65","Chargé / Chargée d'accueil en banque","Emploi Blanc","","","","","C1201"
"C1202","93","66","Analyste de crédits et risques bancaires","Emploi Blanc","","","","","C1202"
"C1203","88","67","Chargé / Chargée d'affaires bancaires entreprise","Emploi Blanc","","","","","C1203"
