"code_rome","code_fiche_metier","code_ogr","libelle_rome","transition_eco","transition_num","transition_demo","emploi_reglemente","emploi_cadre","code_rome_parent"
"F1706","231","179","Armaturier / Armaturière de l'industrie du béton","Emploi Blanc","","","","","F1706"
"F1707","30048","403952","Maçon / Maçonne du paysage","Emploi stratégique pour la Transition écologique","","","","","F1703"
"F1708","30049","403954","Installateur-poseur / Installatrice-poseuse de piscines préfabriquées","Emploi Blanc","","","","","F1703"
"F1709","30057","404038","Démolisseur / Démolisseuse","Emploi Blanc","","","O","","F1704"
"F1710","32399","488283","Magasinier / Magasinière en négoce des matériaux de construction","Emploi stratégique pour la Transition écologique","N","N","N","N","F1704"
"G1101","160","180","Agent / Agente d'accueil touristique","Emploi Blanc","N","N","N","N","G1101"
"G1102","162","181","Chargé / Chargée de promotion touristique","Emploi Blanc","N","N","N","N","G1102"
"G1103","32566","488584","Directeur / Directrice de parc régional","Emploi Vert","N","N","N","O","G1102"
"G1104","32682","488765","Consultant / Consultante tourisme","Emploi Blanc","N","N","N","O","G1102"
"G1105","32691","488774","Directeur / Directrice d'office du tourisme","Emploi Blanc","N","N","N","O","G1102"
"G1106","32711","488794","Animateur / Animatrice du patrimoine","Emploi Blanc","N","N","N","N","G1102"
"G1107","32751","488895","Hôte / Hôtesse d'accueil et d'animation de croisière","Emploi Blanc","N","N","N","N","G1101"
"G1108","32927","489216","Directeur / Directrice de pays d'accueil touristique","Emploi Blanc","N","N","N","O","G1102"
"G1201","175","182","Guide-accompagnateur / Guide-accompagnatrice","Emploi stratégique pour la Transition écologique","N","N","N","N","G1201"
"G1202","166","183","Animateur / Animatrice d'activités culturelles et de loisirs","Emploi Blanc","","O","","","G1202"
"G1203","164","184","Animateur / Animatrice auprès des jeunes","Emploi Blanc","","O","","","G1203"
"G1204","30020","185","Éducateur sportif / Éducatrice sportive","Emploi Blanc","N","O","O","N","G1204"
"G1205","170","186","Opérateur / Opératrice d'attraction","Emploi Blanc","N","N","N","N","G1205"
"G1206","173","187","Croupier / Croupière","Emploi Blanc","","","","","G1206"
"G1207","168","403072","Surveillant / Surveillante de baignade","Emploi Blanc","","","O","","G1204"
"G1208","30021","403077","Entraîneur / Entraîneure de sport professionnel et de haut niveau","Emploi Blanc","N","N","O","N","G1204"
"G1209","30022","403078","Animateur / Animatrice de loisirs sportifs","Emploi Blanc","N","N","O","N","G1204"
"G1210","30055","403958","Enseignant / Enseignante d'équitation","Emploi Blanc","","","","","G1204"
"G1211","30081","404961","Analyste de la performance sportive","Emploi Blanc","N","N","N","N","G1204"
"G1212","30086","404962","Animateur socio-sportif / Animatrice socio-sportive","Emploi Blanc","N","N","O","N","G1204"
"G1213","30079","404963","Chargé / Chargée de développement d'activités sportives","Emploi Blanc","N","N","N","N","M1707"
"G1214","30076","404966","Directeur sportif / Directrice sportive","Emploi Blanc","N","N","N","O","G1204"
"G1215","30078","404967","Educateur sportif / Educatrice sportive Santé","Emploi Blanc","N","O","O","N","G1204"
"G1216","30075","404970","Moniteur / Monitrice de sport nature","Emploi stratégique pour la Transition écologique","N","N","O","N","G1201"
"G1217","30082","404971","Moniteur / Monitrice en salle de sport","Emploi Blanc","N","N","O","N","G1204"
"G1218","30077","404975","Préparateur / Préparatrice physique","Emploi Blanc","N","N","O","N","G1204"
"G1219","32393","488277","Recruteur sportif / Recruteuse sportive","Emploi Blanc","N","N","N","N","M1502"
"G1220","32404","488288","Educateur sportif / Educatrice sportive spécialisé(e) en activités physiques et sportives adaptées","Emploi Blanc","N","N","O","N","G1204"
"G1221","32580","488598","Responsable des attractions","Emploi Blanc","N","N","N","N","G1205"
"G1222","32588","488606","Guide-conférencier / Guide-conférencière","Emploi stratégique pour la Transition écologique","N","N","O","N","G1201"
"G1223","32904","489193","Animateur / Animatrice en site de divertissement","Emploi Blanc","N","N","N","N","G1202"
"G1224","32598","488616","Maître-nageur sauveteur / Maître-nageuse sauveteuse","Emploi Blanc","N","N","O","N","G1204"
"G1225","32615","488633","Ouvreur / Ouvreuse de salle de spectacles","Emploi Blanc","N","N","N","N","G1205"
"G1226","32650","488733","Chef / Cheffe de bassin","Emploi Blanc","N","N","O","N","G1204"
"G1227","32669","488752","Guide-interprète","Emploi stratégique pour la Transition écologique","N","N","N","N","G1201"
"G1228","32696","488779","Guide de haute montagne","Emploi stratégique pour la Transition écologique","N","N","O","N","G1201"
"G1229","32876","489165","Guide-accompagnateur / Guide-accompagnatrice de pêche","Emploi stratégique pour la Transition écologique","N","N","N","N","G1201"
"G1230","32716","488860","Guide de tourisme équestre","Emploi stratégique pour la Transition écologique","N","N","O","N","G1201"
"G1231","32800","489016","Accompagnateur / Accompagnatrice en écotourisme","Emploi Vert","N","N","N","N","G1201"
"G1232","32830","489046","Opérateur / Opératrice de parcours acrobatique dans les arbres","Emploi Blanc","N","N","O","N","G1205"
"G1233","32834","489050","Préparateur mental / Préparatrice mentale du sport","Emploi Blanc","N","N","N","N","G1204"
"G1234","32854","489070","Musher guide de randonnée en traîneau","Emploi stratégique pour la Transition écologique","N","N","N","N","G1201"
"G1301","179","188","Chef / Cheffe de produit touristique","Emploi stratégique pour la Transition écologique","","","","","G1301"
"G1302","181","189","Yield manager","Emploi Blanc","","","","","G1302"
"G1303","177","190","Agent / Agente de voyages","Emploi Blanc","","","","","G1303"
"G1401","595","191","Adjoint / Adjointe de direction en hôtellerie-restauration","Emploi Blanc","N","N","N","O","G1401"
"G1402","186","192","Directeur / Directrice d'établissement en hôtellerie-restauration","Emploi Blanc","N","N","N","O","G1402"
"G1403","191","193","Directeur / Directrice de structure touristique","Emploi Blanc","","","","","G1403"
"G1404","189","194","Responsable d'établissement de restauration collective","Emploi Blanc","","","","O","G1404"
"G1405","30074","404965","Directeur / Directrice de structure sportive","Emploi Blanc","N","N","N","O","M1302"
"G1406","32464","488348","Directeur / Directrice d'équipement sportif","Emploi Blanc","N","N","N","O","G1403"
"G1407","32582","488600","Économe en hôtellerie-restauration","Emploi Blanc","N","N","N","N","G1401"
"G1408","32679","488762","Directeur / Directrice de structure d'hébergement touristique","Emploi Blanc","N","N","N","O","G1403"
"G1409","32755","488899","Manager en restauration rapide","Emploi Blanc","N","N","N","O","G1401"
"G1410","32833","489049","Directeur / Directrice de la restauration","Emploi Blanc","N","N","N","N","G1402"
"G1411","32882","489171","Directeur / Directrice d'hôtel","Emploi Blanc","N","N","N","O","G1402"
"G1412","32915","489204","Directeur / Directrice de parc à thème","Emploi Blanc","N","N","N","O","G1403"
"G1413","32916","489205","Directeur / Directrice de restaurant","Emploi Blanc","N","N","N","O","G1402"
"G1414","32938","489568","Directeur / Directrice d'exploitation de site de divertissement","","","","","","G1403"
"G1501","195","195","Employé / Employée d'étage","Emploi Blanc","N","N","N","N","G1501"
"G1502","193","196","Employé / Employée d'hôtel","Emploi Blanc","N","N","N","N","G1502"
"G1503","198","197","Gouvernant / Gouvernante d'hôtel","Emploi Blanc","N","N","N","N","G1503"
"G1601","30046","198","Chef / Cheffe de cuisine","Emploi Blanc","N","N","O","N","G1601"
"G1602","205","199","Commis / Commise de cuisine","Emploi Blanc","N","N","N","N","G1602"
"G1603","208","200","Équipier polyvalent / Équipière polyvalente de restauration rapide","Emploi Blanc","N","N","N","N","G1603"
"G1604","200","201","Pizzaïolo / Pizzaïola","Emploi Blanc","","","","","G1604"
"G1605","202","202","Plongeur officier / Plongeuse officière de cuisine","Emploi Blanc","N","N","N","N","G1605"
"G1606","30058","404039","Cuisinier / Cuisinière de collectivité","Emploi stratégique pour la Transition écologique","","","","","G1602"
"G1607","30063","404040","Employé / Employée de restauration collective","Emploi Blanc","","","","","G1603"
"G1608","30099","404540","Ecailler / Ecaillère","Emploi Blanc","N","N","N","N","G1605"
"G1609","32550","488568","Cuisinier / Cuisinière","Emploi Blanc","N","N","O","N","G1602"
"G1610","32562","488580","Pâtissier / Pâtissière de restaurant","Emploi Blanc","N","N","N","N","G1602"
"G1611","32884","489173","Steward / Hôtesse de train","Emploi Blanc","N","N","N","N","G1603"
"G1701","218","203","Concierge d'hôtel","Emploi Blanc","N","N","N","N","G1701"
"G1702","213","204","Bagagiste en établissement hôtelier","Emploi Blanc","N","N","N","N","G1702"
"G1703","216","205","Réceptionniste","Emploi Blanc","N","N","N","N","G1703"
"G1704","32561","488579","Agent / Agente de réservation en hôtellerie","Emploi Blanc","N","N","N","N","G1703"
"G1705","32567","488585","Chef / Cheffe concierge d'hôtel","Emploi Blanc","N","N","N","N","G1701"
"G1706","32602","488620","Chef / Cheffe de réception en hôtellerie","Emploi Blanc","N","N","N","N","G1703"
"G1707","32747","488891","Responsable de vestiaire","Emploi Blanc","N","N","N","N","G1702"
"G1708","32802","489018","Voiturier / Voiturière","Emploi Blanc","N","N","O","N","G1702"
"G1801","223","206","Barman / Barmaid","Emploi Blanc","N","N","O","N","G1801"
"G1802","228","207","Maître / Maîtresse d'hôtel","Emploi Blanc","N","N","N","N","G1802"
"G1803","219","208","Serveur / Serveuse en restauration","Emploi Blanc","N","N","N","N","G1803"
"G1804","221","209","Sommelier / Sommelière","Emploi Blanc","N","N","N","N","G1804"
"G1805","32821","489037","Gérant / Gérante de café, bar-brasserie","Emploi Blanc","N","N","N","O","G1801"
"G1806","32754","488898","Chef sommelier / Cheffe sommelière","Emploi Blanc","N","N","N","N","G1804"
"G1807","32564","488582","Gérant / Gérante de bar-tabac","Emploi Blanc","N","N","O","N","G1801"
"G1808","32617","488635","Chef barman / Cheffe barmaid","Emploi Blanc","N","N","O","N","G1801"
"G1809","32635","488718","Barista","Emploi Blanc","N","N","N","N","G1801"
"G1810","32717","488861","Chef / Cheffe de rang","Emploi Blanc","N","N","N","N","G1802"
"H1101","230","210","Ingénieur / Ingénieure support technique","Emploi Blanc","N","N","N","O","H1101"
"H1102","232","211","Ingénieur / Ingénieure d'affaires en industrie","Emploi stratégique pour la Transition écologique","N","N","N","O","H1102"
"H1103","32418","488302","Responsable d'affaires en industrie","Emploi stratégique pour la Transition écologique","N","N","N","O","H1102"
"H1104","32437","488321","Directeur / Directrice des affaires médicales pharmaceutiques","Emploi Blanc","N","N","O","O","H1102"
"H1105","32455","488339","Chef de projets santé / Cheffe de projets santé","Emploi Blanc","N","N","N","O","H1102"
"H1106","32609","488627","Responsable support technique clients","Emploi Blanc","N","N","N","O","H1101"
"H1107","32799","489015","Directeur / Directrice assistance technique","Emploi Blanc","N","N","N","O","H1101"
"H1108","32813","489029","Technicien / Technicienne support client en industrie","Emploi Blanc","N","N","N","N","H1101"
"H1201","254","212","Coloriste en industrie","Emploi Blanc","","","","","H1201"
"H1202","242","213","Dessinateur / Dessinatrice en électricité-électronique","Emploi Blanc","","","","","H1202"
"H1203","237","214","Dessinateur-projeteur / Dessinatrice-projeteuse en mécanique","Emploi stratégique pour la Transition écologique","","","","","H1203"
"H1204","234","215","Designer industriel / Designeuse industrielle","Emploi Blanc","","","","","H1204"
"H1205","257","216","Modéliste en industrie","Emploi Blanc","","","","","H1205"
"H1206","252","217","Ingénieur / Ingénieure R&D en industrie","Emploi stratégique pour la Transition écologique","","","","","H1206"
"H1207","250","218","Rédacteur / Rédactrice technique","Emploi Blanc","","","","","H1207"
"H1208","247","219","Automaticien / Automaticienne en bureau d'études","Emploi Blanc","N","","","","H1208"
"H1209","240","220","Technicien / Technicienne études électroniques","Emploi Blanc","","","","","H1209"
"H1210","244","221","Technicien / Technicienne R&D","Emploi Blanc","N","O","","","H1210"
"H1211","30100","404541","Attaché / Attachée de recherche clinique (ARC)","Emploi Blanc","","","O","O","H1206"
"H1212","32387","488271","Ingénieur / Ingénieure brevet en industrie","Emploi Blanc","N","N","N","O","H1206"
"H1213","32407","488291","Responsable du développement clinique","Emploi Blanc","N","N","N","O","H1206"
"H1214","32415","488299","Agent / Agente de laboratoire de recherche industrielle","Emploi Blanc","N","N","N","N","H1210"
"H1215","32419","488303","Bioinformaticien / Bioinformaticienne en études, recherche et développement","Emploi Blanc","N","N","N","O","H1206"
"H1216","32424","488308","Responsable des études épidémiologiques","Emploi Blanc","N","O","N","O","H1206"
"H1217","32429","488313","Technicien / Technicienne formulation","Emploi Blanc","N","N","N","N","H1206"
"H1218","32432","488316","Responsable de projet recherche et développement","Emploi Blanc","N","N","N","O","H1206"
"H1219","32435","488319","Responsable opérationnel / Responsable opérationnelle des études cliniques","Emploi Blanc","N","N","O","O","H1206"
"H1220","32438","488322","Responsable formulation","Emploi Blanc","N","N","N","O","H1206"
"H1221","32451","488335","Responsable des partenariats de recherche","Emploi Blanc","N","N","N","O","H1206"
"H1222","32463","488347","Responsable médical / Responsable médicale des études cliniques","Emploi Blanc","N","N","O","O","H1206"
"H1223","32467","488351","Coordinateur / Coordinatrice d'études cliniques","Emploi Blanc","N","N","N","O","H1206"
"H1224","32548","488566","Technicien / Technicienne de laboratoire de recherche-développement","Emploi Blanc","N","N","N","N","H1210"
"H1225","32930","489219","Ingénieur / Ingénieure développement nucléaire","Emploi stratégique pour la Transition écologique","N","N","N","O","H1206"
"H1301","262","222","Inspecteur / Inspectrice de conformité","Emploi stratégique pour la Transition écologique","N","N","N","N","H1301"
"H1302","264","223","Responsable Hygiène Sécurité Environnement (HSE) en industrie","Emploi Vert","","","","O","H1302"
"H1303","259","224","Technicien / Technicienne en Hygiène, Sécurité, Environnement industriel (HSE)","Emploi Vert","N","N","N","N","H1303"
"H1304","32401","488285","Responsable environnement-hygiène-sécurité en industrie","Emploi Vert","N","N","N","O","H1302"
"H1305","32578","488596","Vérificateur / Vérificatrice de conformité industrielle","Emploi stratégique pour la Transition écologique","N","N","N","N","H1301"
"H1306","32601","488619","Ingénieur / Ingénieure sûreté en industrie nucléaire","Emploi Vert","N","N","N","O","H1302"
"H1307","32668","488751","Responsable de la conformité industrielle","Emploi stratégique pour la Transition écologique","N","N","N","O","H1301"
"H1308","32892","489181","Animateur / Animatrice en Hygiène Sécurité Environnement (HSE)","Emploi Vert","N","N","N","N","H1303"
"H1309","32894","489183","Technicien / Technicienne en radioprotection","Emploi Vert","N","N","O","N","H1303"
"H1401","274","225","Responsable ordonnancement-lancement-planification en industrie","Emploi stratégique pour la Transition écologique","","","","","H1401"
"H1402","270","226","Ingénieur / Ingénieure méthodes et process","Emploi stratégique pour la Transition écologique","","","","","H1402"
"H1403","268","227","Gestionnaire de flux de production","Emploi Blanc","","","","","H1403"
"H1404","266","228","Technicien / Technicienne méthodes","Emploi Blanc","","","","","H1404"
"H1405","32413","488297","Responsable supply chain en industrie","Emploi Blanc","N","N","N","O","H1401"
"H1406","32447","488331","Ingénieur / Ingénieure supply chain en industrie","Emploi Blanc","N","N","N","O","H1401"
"H1501","282","229","Ingénieur / Ingénieure d'analyse industrielle","Emploi stratégique pour la Transition écologique","","","","","H1501"
"H1502","284","230","Responsable qualité en industrie","Emploi stratégique pour la Transition écologique","","","","","H1502"
"H1503","281","231","Technicien / Technicienne de laboratoire en industrie","Emploi stratégique pour la Transition écologique","","","","","H1503"
"H1504","280","232","Contrôleur / Contrôleuse technique en électricité-électronique","Emploi Blanc","","","","","H1504"
"H1505","276","233","Nez","Emploi Blanc","","","","","H1505"
"H1506","278","234","Contrôleur / Contrôleuse technique en métallurgie","Emploi stratégique pour la Transition écologique","","","","","H1506"
"H1507","30101","404542","Chargé / Chargée des affaires réglementaires","Emploi Blanc","","","O","O","H1502"
"H1508","32394","488278","Assureur / Assureuse qualité industrie","Emploi Blanc","N","N","N","O","H1502"
"H1509","32400","488284","Responsable des affaires règlementaires","Emploi Blanc","N","N","N","O","H1502"
"H1510","32412","488296","Technicien / Technicienne de laboratoire de contrôle","Emploi Blanc","N","N","N","N","H1501"
"H1511","32425","488309","Chargé / Chargée de validation-qualification","Emploi Blanc","N","N","N","O","H1502"
"H1512","32428","488312","Directeur / Directrice de zone","Emploi Blanc","N","N","N","O","H1501"
"H1513","32430","488314","Responsable de pharmacovigilance","Emploi Blanc","N","N","O","O","H1502"
"H1514","32446","488330","Chargé / Chargée de pharmacovigilance","Emploi Blanc","N","N","O","O","H1502"
"H1515","32452","488336","Auditeur / Auditrice qualité en industrie","Emploi Blanc","N","N","N","O","H1502"
"H1516","32457","488341","Expert / Experte métrologue","Emploi Blanc","N","N","N","N","H1502"
"H1517","32459","488343","Responsable de laboratoire de contrôle en industrie pharmaceutique","Emploi Blanc","N","N","O","O","H1501"
"H1518","32460","488344","Responsable assurance qualité en industrie","Emploi Blanc","N","N","N","O","H1502"
"H1519","32468","488352","Responsable éthique-déontologie-conformité","Emploi Blanc","N","N","N","O","H1502"
"H1520","32469","488353","Ingénieur / Ingénieure assurance qualité en industrie","Emploi Blanc","N","N","N","O","H1502"
"H1521","32547","488565","Technicien / Technicienne de validation-qualification","Emploi Blanc","N","N","N","N","H1502"
"H1522","32614","488632","Technicien / Technicienne en contrôles et essais non destructifs (CND END)","Emploi Blanc","N","N","N","N","H1506"
"H2101","288","235","Ouvrier / Ouvrière d'abattoir","Emploi Brun","","","","","H2101"
"H2102","286","236","Conducteur / Conductrice de ligne en industrie alimentaire","Emploi Blanc","N","N","N","N","H2102"
"H2103","30056","403959","Opérateur / Opératrice de transformation des viandes","Emploi Brun","","","","","H2101"
"H2104","32628","488711","Fromager industriel / Fromagère industrielle","Emploi Blanc","N","","N","N","H2102"
"H2201","294","237","Assembleur / Assembleuse d'ouvrages en bois","Emploi stratégique pour la Transition écologique","","","","","H2201"
"H2202","293","238","Conducteur / Conductrice de machines à bois","Emploi stratégique pour la Transition écologique","","","","","H2202"
"H2203","289","239","Machiniste en fabrications de panneaux de bois","Emploi stratégique pour la Transition écologique","","","","","H2203"
"H2204","300","240","Contremaître / Contremaîtresse en menuiserie","Emploi Blanc","","","","","H2204"
"H2205","291","241","Ouvrier / Ouvrière de scierie","Emploi stratégique pour la Transition écologique","","","","","H2205"
"H2206","296","242","Menuisier / Menuisière","Emploi Blanc","N","N","N","N","H2206"
"H2207","298","243","Ébéniste","Emploi stratégique pour la Transition écologique","N","N","N","N","H2207"
"H2208","299","244","Sculpteur / Sculptrice sur bois","Emploi stratégique pour la Transition écologique","","","","","H2208"
"H2209","302","245","Dessinateur / Dessinatrice de structures en bois","Emploi stratégique pour la Transition écologique","","","","","H2209"
"H2210","32822","489038","Tonnelier / Tonnelière","Emploi stratégique pour la Transition écologique","N","N","N","N","H2206"
"H2211","32743","488887","Opérateur / Opératrice de sciage bois","Emploi stratégique pour la Transition écologique","N","N","N","N","H2205"
"H2301","303","246","Conducteur / Conductrice de ligne en industrie chimique","Emploi Blanc","","","","","H2301"
"H2302","32392","488276","Conducteur / Conductrice de procédé de fabrication","Emploi Blanc","N","N","N","N","H2301"
"H2303","32434","488318","Opérateur / Opératrice de fabrication en industrie pharmaceutique","Emploi Blanc","N","N","N","N","H2301"
"H2401","307","247","Opérateur / Opératrice de fabrication industrie des cuirs, peaux et matériaux associés","Emploi Blanc","N","N","N","N","H2401"
"H2402","308","248","Couturier industriel / Couturière industrielle de l'habillement","Emploi Blanc","N","N","N","N","H2402"
"H2403","320","249","Conducteur / Conductrice de machines de fabrication de produits textiles","Emploi Blanc","N","N","N","N","H2403"
"H2404","317","250","Conducteur / Conductrice de machine de production et transformation des fils","Emploi Blanc","N","N","N","N","H2404"
"H2405","322","251","Conducteur / Conductrice de ligne de production de textiles non-tissés","Emploi Blanc","N","N","N","N","H2405"
"H2406","326","252","Conducteur / Conductrice de machines de traitement textile","Emploi Blanc","N","N","N","N","H2406"
"H2407","324","253","Opérateur / Opératrice sur machine de transformation et de finition des cuirs et peaux","Emploi Blanc","N","N","N","N","H2407"
"H2408","327","254","Imprimeur / Imprimeuse textile","Emploi Blanc","N","N","N","N","H2408"
"H2409","315","255","Coupeur / Coupeuse en industrie textile et matériaux souples","Emploi Blanc","N","N","N","N","H2409"
"H2410","311","256","Opérateur / Opératrice de finition en industrie du textile","Emploi Blanc","N","N","N","N","H2410"
"H2411","310","257","Monteur / Monteuse prototypiste cuir et matériaux souples","Emploi Blanc","N","N","N","N","H2411"
"H2412","305","258","Patronnier / Patronnière","Emploi Blanc","","","","","H2412"
"H2413","318","259","Opérateur / Opératrice de préparation en industrie textile","Emploi Blanc","","","","","H2413"
"H2414","312","260","Opérateur / Opératrice de préparation ou de finition sur articles de cuirs, peaux ou matériaux associés","Emploi Blanc","","","","","H2414"
"H2415","313","261","Contrôleur / Contrôleuse en industrie textile","Emploi Blanc","","","","","H2415"
"H2416","32612","488630","Gainier industriel / Gainière industrielle","Emploi Blanc","N","N","N","N","H2401"
"H2417","32631","488714","Chef / Cheffe de rame textile","Emploi Blanc","N","N","N","N","H2406"
"H2418","32637","488720","Opérateur / Opératrice sur machine de production et transformation des fils","Emploi Blanc","N","N","N","N","H2404"
"H2419","32657","488740","Passementier / Passementière en industrie textile","Emploi Blanc","N","N","N","N","H2404"
"H2420","32677","488760","Repasseur / Repasseuse en industrie textile et de l'habillement","Emploi Blanc","N","N","N","N","H2410"
"H2421","32678","488761","Opérateur / Opératrice de fabrication de produits textiles","Emploi Blanc","N","N","N","N","H2405"
"H2422","32697","488780","Tapissier industriel / Tapissière industrielle","Emploi Blanc","N","N","N","N","H2401"
"H2423","32712","488856","Mécanicien / Mécanicienne industrie textile et de l'habillement","Emploi Blanc","N","N","N","N","H2402"
"H2424","32731","488875","Chef(fe) de ligne chromo en industrie textile","Emploi Blanc","N","N","N","N","H2408"
"H2425","32757","488901","Fileur / Fileuse en industrie textile","Emploi Blanc","N","N","N","N","H2403"
"H2426","32788","488932","Chef(fe) d'équipe en atelier de coupe","Emploi Blanc","N","N","N","N","H2409"
"H2427","32844","489060","Effileur / Effileuse en dentelles","Emploi Blanc","N","N","N","N","H2410"
"H2501","330","262","Chef / Cheffe d'atelier production électricité-électronique","Emploi Blanc","","","","","H2501"
"H2502","334","263","Responsable d'unité de production industrielle","Emploi stratégique pour la Transition écologique","","","","","H2502"
"H2503","329","264","Responsable d'îlot de production","Emploi stratégique pour la Transition écologique","","","","","H2503"
"H2504","332","265","Chef / Cheffe d'équipe en industrie","Emploi stratégique pour la Transition écologique","","","","","H2504"
"H2505","336","266","Chef / Cheffe d'équipe et d'atelier textile","Emploi Blanc","","","","","H2505"
"H2506","32402","488286","Chef / Cheffe de production en industrie agroalimentaire","Emploi Blanc","N","N","N","O","H2504"
"H2507","32431","488315","Responsable de ligne de production industrielle","Emploi Blanc","N","N","N","O","H2502"
"H2508","32718","488862","Ingénieur / Ingénieure exploitation nucléaire","Emploi stratégique pour la Transition écologique","N","N","O","O","H2502"
"H2601","358","267","Bobinier / Bobinière en électricité","Emploi Blanc","N","N","N","N","H2601"
"H2602","353","268","Câbleur / Câbleuse d'armoires","Emploi Blanc","","","","","H2602"
"H2603","352","269","Opérateur / Opératrice sur machines automatisées en production électrique","Emploi Blanc","","","","","H2603"
"H2604","350","270","Assembleur / Assembleuse en produits électriques et électroniques","Emploi stratégique pour la Transition écologique","","","","","H2604"
"H2605","356","271","Monteur-câbleur / Monteuse-câbleuse en électronique","Emploi stratégique pour la Transition écologique","","","","","H2605"
"H2606","32680","488763","Monteur-bobinier / Monteuse-bobinière en électricité","Emploi Blanc","N","N","N","N","H2601"
"H2607","32776","488920","Chef / Cheffe d'équipe d'atelier de bobinage en électricité","Emploi Blanc","N","N","N","N","H2601"
"H2608","32933","489222","Bobinier / Bobinière en matériels électroniques","Emploi Blanc","N","N","N","N","H2601"
"H2701","359","272","Technicien / Technicienne énergie","Emploi stratégique pour la Transition écologique","","","","","H2701"
"H2702","32421","488305","Conducteur / Conductrice de bloc nucléaire","Emploi stratégique pour la Transition écologique","N","N","O","N","H2701"
"H2703","32613","488631","Technicien / Technicienne de maintenance de batteries de véhicules électriques","Emploi stratégique pour la Transition écologique","N","N","N","N","H2701"
"H2704","32692","488775","Technicien démonteur / Technicienne démonteuse de batteries de véhicules électriques","Emploi Vert","N","N","N","N","H2701"
"H2705","32855","489071","Pilote de ligne de production de composants et de cellules pour batteries de véhicules électriques","Emploi stratégique pour la Transition écologique","N","N","N","N","H2701"
"H2801","363","273","Agent / Agente de fabrication du verre","Emploi Blanc","","","","","H2801"
"H2802","366","274","Opérateur / Opératrice de fabrication en matériaux de construction","Emploi Blanc","","","","","H2802"
"H2803","368","275","Opérateur / Opératrice de production en céramique","Emploi Blanc","","","","","H2803"
"H2804","364","276","Pilote de centrale de béton","Emploi Blanc","","","","","H2804"
"H2805","361","277","Technicien / Technicienne de l'industrie du verre","Emploi Blanc","","","","","H2805"
"H2901","385","278","Ajusteur-monteur / Ajusteuse-monteuse","Emploi Blanc","","","","","H2901"
"H2902","601","279","Chaudronnier / Chaudronnière","Emploi stratégique pour la Transition écologique","","","","","H2902"
"H2903","377","280","Tourneur-fraiseur / Tourneuse-fraiseuse","Emploi Blanc","","","","","H2903"
"H2904","374","281","Forgeron industriel / Forgeronne industrielle","Emploi stratégique pour la Transition écologique","","","","","H2904"
"H2905","373","282","Cisailleur / Cisailleuse en métallurgie","Emploi Blanc","","","","","H2905"
"H2906","371","283","Opérateur / Opératrice en fabrication mécanique","Emploi Blanc","","","","","H2906"
"H2907","389","284","Fondeur / Fondeuse en métallurgie","Emploi stratégique pour la Transition écologique","","","","","H2907"
"H2908","391","285","Modeleur / Modeleuse","Emploi stratégique pour la Transition écologique","","","","","H2908"
"H2909","378","286","Assembleur monteur / Assembleuse monteuse","Emploi Blanc","","","","","H2909"
"H2910","393","287","Mouleur noyauteur / Mouleuse noyauteuse","Emploi Blanc","","","","","H2910"
"H2911","382","288","Métallier / Métallière","Emploi Blanc","","","","","H2911"
"H2912","387","289","Régleur / Régleuse d'équipements industriels","Emploi Blanc","","","","","H2912"
"H2913","380","290","Soudeur / Soudeuse","Emploi Blanc","N","N","N","N","H2913"
"H2914","384","291","Tuyauteur / Tuyauteuse","Emploi Blanc","","","","","H2914"
"H2915","32808","489024","Chef soudeur / Cheffe soudeuse","Emploi Blanc","N","N","N","N","H2913"
"H2916","32831","489047","Soudeur / Soudeuse Tungsten Inert Gas -TIG-","Emploi stratégique pour la Transition écologique","N","N","N","N","H2913"
"H2917","32905","489194","Soudeur / Soudeuse MIG MAG","Emploi Blanc","N","N","N","N","H2913"
"H3101","396","292","Conducteur / Conductrice de machines à papier ou carton","Emploi Blanc","","","","","H3101"
"H3102","395","293","Conducteur / Conductrice d'installation de pâte à papier","Emploi Blanc","","","","","H3102"
"H3201","401","294","Plasturgiste","Emploi stratégique pour la Transition écologique","","","","","H3201"
"H3202","402","295","Monteur régleur / Monteuse régleuse en plasturgie","Emploi stratégique pour la Transition écologique","","","","","H3202"
"H3203","398","296","Mouleur-stratifieur / Mouleuse-stratifieuse","Emploi Blanc","","","","","H3203"
"H3301","404","297","Conducteur / Conductrice de ligne de conditionnement","Emploi Blanc","N","N","O","N","H3301"
"H3302","405","298","Agent / Agente de conditionnement","Emploi Blanc","","","","","H3302"
"H3303","407","299","Cuisinier / Cuisinière en industrie chimique","Emploi Blanc","","","","","H3303"
"H3304","32769","488913","Chef / Cheffe de ligne conditionnement","Emploi Blanc","N","N","N","N","H3301"
"H3305","32867","489083","Conducteur / Conductrice de machines de conditionnement","Emploi Blanc","N","N","N","N","H3301"
"H3401","414","300","Opérateur / Opératrice de traitement d'abrasion de surface","Emploi Blanc","","","","","H3401"
"H3402","410","301","Agent / Agente de traitement de surface","Emploi Blanc","","","","","H3402"
"H3403","409","302","Opérateur / Opératrice de traitement thermique","Emploi Blanc","","","","","H3403"
"H3404","411","303","Peintre industriel / Peintre industrielle","Emploi Blanc","","","","","H3404"
"H3405","30094","404973","Polisseur / Polisseuse en bijouterie ou joaillerie ou orfèvrerie","Emploi Blanc","N","N","O","N","H3401"
